offer,accepted
"ЕК также пересмотрела свои ожидания по экономике России, цифры на эти два года теперь выше, но в 2023 прогнозируется снижение ВВП

Россия  2023: -0.9% гг vs -3.2% гг в осеннем прогнозе, 2024: 1.3% гг vs 0.9% гг
Инфляция: 6.4% в этом году и 4.6% в следующем. Достижения таргета пока не ожидается

Основная причина сдержанного прогноза на этот год – западные санкции. Однако продолжающееся фискальное стимулирование, должно смягчить неблагоприятное экономическое влияние западных ограничений. В 2024 году прогнозируется умеренное восстановление, хотя текущий военный конфликт негативно влияет на потенциальные темпы роста

","1,00"
"Ещё нашёл доклад МВФ, в котором анализируется, как всоко- и низкоцифровизированные компании реагируют на крупные кризисные события в мире, которые вызывают сильный рост неопределенности (вроде 11 сентября и ковидной пандемии). Указывают, что во всех случаях высокоцифровые переживают кризисы легче низкоцифровых. Так, если низкоцифровые теряют более 5% объемов продаж, около 0,5% прибылей и более 2% работников, то высокоцифровые, наоборот, показывают рост продаж до 5%, и числа работников до 2% (с постепенным снижением) показателя, их прибыли падают медленно и максимум до 0,2%.","0,00"
"
ЕЦБ сегодня представил три сценария крупных шоков для европейской банковской системы: ""нормативный стресс-тест EBA стал шоком для России и стран Восточной Европы, а также шоком для стран Южной Европы"". В среднем, реализация любого из этих сценариев приведёт к потере около 23,06% банковского капитала. Это при условии, что их, по сути, единственный способ отвечать на шок - это продажа активов. Но если им будет доступно множество каналов поддержки, в том числе от ЕЦБ (""необеспеченные кредиты,
продажа активов, частные соглашения обратного выкупа или кредитование Центральным банком""), то средние потери при шоках можно сократить почти на 5%, до 18,19%.","1,00"
"
В общем, в этом докладе МВФники говорят, что если в разных странах налоговые органы будут плотнее сотрудничать с органами, которые противостоят отмыванию денег (у них будут общие датабазы с указанием бенефициаров компаний, они будут применять единые методы по выявлению нарушений), то в итоге получится сгладить мощный рост долговой нагрузки на экономики в связи с подорожанием топлива, разгона суверенных долгов и обеспечить их фин. стабильность. И при этом не придется повышать налоги.","0,00"
"Bank of America опубликовал 12 графиков, которые показывают, что американская экономика вступит в полномасштабную рецессию.

По его данным, есть много сигналов, которые свидетельствуют, что рецессии избежать не удалось. Снижение производственной активности ― низший показатель с мая 2020 года. Модель Bank of America о прибыли на акцию прогнозирует, что падение этого показателя в августе достигает 16% в годовом исчислении. Кривая доходности 2-летних и 10-летних казначейских облигаций США сглаживается и растёт ― такое раньше происходило в преддверии рецессии.

Цену на нефть колотит во время рецессии ― она поднимается в начале и снижается во время её течения. Сейчас цена на нефть нестабильна. Слабый индекс деловой активности в производственном секторе предполагает, что рынок труда США ослабнет в ближайшие несколько месяцев. Тренд глобальных цен на жильё ушёл в минус ― высокие ставки ударили по недвижимости в США, Великобритании, Канаде, Швеции, Австралии. Американские банки ужесточили стандарты кредитования малых компаний за последние кварталы. Кредитный кризис усиливается и сильно коррелируется со спросом на работников для малого бизнеса. В Еврозоне банковское кредитование тоже снижается три месяца подряд. Наметилась тенденция к сокращению числа вакансий в США ― рынок труда становится слабее. ","1,00"
"У МВФа ещё есть доклад вчерашний, в котором они говрят, что нужно прошать долги наименее развитым странам (по аналогии с инициативой HIPC 1990-х) - иначе у большинства из них случится большой долговой кризис. Ситуацию связывают с СВО и пандемией.","1,00"
"США 🇺🇸 оперативно отреагировали на так называемый налог на выход (exit tax)

30 марта 2023 г. опубликовано обновленное разъяснение OFAC 1118, согласно которому необходимо получать лицензии американским лицам для совершения прямых и косвенных транзакций либо передачу активов   в пользу ЦБ РФ, Минфина и других российских ведомств. 

При этом разъясняется, что специальный взнос, утвержденный спец правительственной подкомиссией в РФ нельзя рассматривать в качестве оплаты налогов и обязательных взносов, которые разрешены Генлицензией GL 13D.  ","1,00"
"
Вроде одну интересную нашел, МВФ рассчиал 5 сценариев развития мировой экономики в условиях фрагментации Согласно сценарию А, прекращение торговли энергоресурсами оказывает значительное негативное краткосрочное воздействие на все страны,
варьируясь от снижения производства на 10,1 процента в странах с развивающейся экономикой до снижения на 7,8 процента в странах с развитой экономикой и на 6,3 процента
в странах с переходной экономикой. Это отражает различную степень зависимости от энергии для производства, а также меньшее
число экспортеров энергии среди стран СНГ. В долгосрочной перспективе воздействие значительно ниже для всех групп стран,
варьируясь от 1,1 до 2,1 процента, поскольку страны перераспределяют ресурсы в другие секторы и находят другие заменители энергии, продаваемой на
международном рынке.
Сценарий В показывает результат нулевой торговли высокотехнологичными товарами, при этом AES испытывает наибольшие потери в объеме производства. 
Результат отражает более широкую представленность торговли высокотехнологичными товарами для AEs. Сценарий С подчеркивает важность
международной торговли сельским хозяйством для глобального уровня жизни и особенно для стран с низким уровнем дохода, которые сильно зависят
от импорта сельскохозяйственных товаров.
В сценарии стратегического разделения (SD) увеличение торговых барьеров между группами США/ЕС и Россия/Китай
сокращает объем производства для AEs и EMs на 0,7 и 0,8 процента в краткосрочной перспективе соответственно, но только на 0,3
процентов в долгосрочной перспективе. Страны СНГ, однако, получают незначительную выгоду из-за переориентации торговли в течение обоих периодов времени, поскольку
спрос и предложение со стороны торговых партнеров в двух группах перемещаются в страны, которые по-прежнему свободно торгуют. В целом, мы
оцениваем падение мирового производства на 0,3 процента в долгосрочной перспективе и на 0,8 процента в краткосрочной перспективе с учетом нашей базовой
эластичности.
В сценарии геоэкономической фрагментации (ГЭФ), когда страны РЯДА вынуждены вступать в эксклюзивные
торговые отношения с одной из групп и торговые барьеры применяются во всех секторах, негативное воздействие
во всех группах стран резко возрастает. В совокупности наблюдается долгосрочное сокращение реального ВВП на
2,3 процента и краткосрочное сокращение на 4,8 процента. Потери для AEs и EMs составляют 4,2 и 5,2 процента в
краткосрочной перспективе и 2,1 и 2,5 процента в долгосрочной, соответственно. Страны СНГ окажутся под значительным давлением,
испытав потери производства в размере 10,8% в краткосрочной перспективе и 4,3% в долгосрочной. Страны СНГ теряют больше
всего, потому что они в наибольшей степени подвержены торговле сырьевыми товарами, т.е. они импортируют и экспортируют товары более высокими темпами
чем AEs и EMs. Это объясняется тем, что (i) страны СНГ более сырьеемки (особенно в сельском хозяйстве), (ii) страны СНГ
, как правило, небольшие и поэтому в большей степени зависят от импорта сырьевых товаров, и (iii) страны СНГ, как правило, специализируются на экспорте
ключевых сырьевых товаров, особенно металлов и энергии.","1,00"
"
Тут МВФ ещё на прошлой неделе оценил возможность разделения нац. долгов европейских стран между ними. Пишут, что можно создать специальную структуру, которая будет выпускать общеевропейские облигации, которые будут направлены на сокращение долгов каждой страны (насколько я понял, пройдясь по верхам). Эта структура будет генерировать до 15% ВВП еврозоны и помогать странам быстрее покрывать свои долги.","1,00"
"Дефицит долларов на развивающихся рынках привел к критической ситуации в экономиках с низким уровнем дохода.

Вызванное циклом повышения процентных ставок ФРС в марте 2022 года укрепление доллара США хаотизирует экономическую ситуацию во всем мире. В таких странах, как Пакистан, Шри-Ланка, Нигерия, Малави, Гана и Бангладеш валюты не хватает для финансирования критического импорта: энергоносителей, удобрений, лекарств, медицинского оборудования и других товаров первой необходимости.

В Пакистане закрылись или приостановили работу текстильные фабрики и крупные заводы по производству автомобилей, запчастей и удобрений. Рекордная за более чем полвека инфляция – в феврале годовой рост цен ускорился и достиг 35.5% – также привела к разрушению потребительского спроса: продажи автомобилей рухнули в январе на 65% по сравнению с 2022 годом. В Шри-Ланке, объявившей дефолт в апреле 2022 года, инфляция снизилась с пиковых 70% до 50.6%, но в стране введены жесткие лимиты на продажу топлива, а государственные медучреждения вынуждены откладывать необязательные и несрочные операции. Ассоциации независимых производителей электроэнергии Бангладеш запросила у центрального банка $1 млрд для оплаты топлива. Коммунальными предприятиями требуется около $250 млн ежемесячно с марта по июнь для оплаты поставок мазута, на долю которого приходится 25% генерации, иначе летом в стране начнется энергетический кризис.","1,00"
"ИНФЛЯЦИОННОЕ ДАВЛЕНИЕ В ЕВРОЗОНЕ ВНОВЬ УСИЛИЛОСЬ

Предварительная оценка гармонизированного показателя HICP в Еврозоне составила в феврале 8.5% гг vs 8.6% гг и 9.2% гг двумя месяцами ранее.

Помесячная динамика довольно заметно выросла: 0.8% мм vs -0.2% мм 

Тенденции, которые были зафиксированы в Германии подтвердились и в целом по Еврозоне, где помесячная дефляция, наблюдавшаяся на протяжении квартала сейчас уже не присутствует. ","1,00"
"Вот такая история есть: ЕЦБшный хрен сказал, что они достигнут максимального уровня процентной ставки к сентябрю этого года, при этом ""инфляция должна достичь своего пика в первом полугодии этого года и может сократиться вдвое к концу года"". У нас эксперты в начале февраля говорили, что они начнут понижать ставку не раньше 2024 г., а инфляция достигнет таргета максимум к 2025 г.","1,00"
"В первом сценарии «мягкой просадки» они отмечают, что инфляционные индексы в мире упали более чем вдвое с осени прошлого года, энергоцены также сократились вместе с ценами на продовольствие, также указывают на то, что Baltic Dry Index, который отражает цены на перевозки сухого груза, сейчас находится на уровне – это на 75% меньше максимумов 2022 г. и на 15% меньше средних показателей 2018-2019 гг. В общем, они отмечают, что при таком раскладе, в целом, центробанки смогут спокойно приступить к снижению ставок в 2024 г.
Во втором сценарии они допускают, что текущее ужесточение ДКП может быть недостаточным для сдерживания инфляции. На это указывают рекордно низкие уровни безработицы (особенно в США и ВБ, где они упали до 3,5% и 3,6% весной, сейчас в районе 4%) – как следствие, растущие требования по зарплатам. На недостаточность мер указывают также и многочисленные программы финансовой поддержки населения и бизнеса вроде американского Закона о снижении инфляции. Также значительный поток ликвидности создают процентные платежи, которые центробанки выдают банкам за резервы (указывают, что эти платежи в среднем могут составлять около 1% ВВП). 
В третьем сценарии указывают, что регуляторы, наоборот, перетянули с ужесточением ДКП. На это указывает закрепление глобальных индексов PMI в отрицательной зоне с сентября 2022 г. – в особенности, в промышленности. Также указывают нападение спроса и предложения кредитных денег. 
В любом случае, они прогнозируют рост мировой экономики (без Китая) на уровне 1% в 2024 г., что, как они отмечают, уже соответствует понятию глобальной рецессии.","1,00"
"Сегодня вышли данные о ПИИ в Китай, они рухнули на 8,4% в сентябре - уровни пандемии. Ранее в начале недели IIF сообщал о падении портфельных инвестиций в развивающиеся экономики в сентябре на $13 млрд - второй месяц подряд, в августе было $15 млрд. Про общее бегство инвесторов из развивающихся стран и Китая пишу.","1,00"
"Вчера вышел комбинированный доклад 10 международных банков развития о том, что они собрали на финансирование зеленой трансформации почти $100 млрд в 2022 г. $60,7 млрд собрали на поддержку слабо- и среднеразвитым экономикам, $38,8 млрд – на поддержку развитых экономик. ЕБРР, один из банков, пишет, что это рекорд. Собранные средства также оказались примерно в 1,5 раза больше таргета в $65 млрд, который банки поставили себе на 2025 г.","0,00"
"Привет! В МВФ увидели риски нереализации целей устойчивого развития (ЦУР) в развивающихся и беднейших экономиках к 2030 г. из-за замедления их роста. В цели входит 17 программ по направлениям социалки, экономики, экологии и пр. Цели были приняты ООН и МВФ в 2015 г. и направлены на 193 страны.  Динамика ВВП в беднейших экономиках, как ожидается, замедлится с 5,2% в 2022 г. до 4% в текущем и будет стагнировать в дальнейшем. Усиливать риски недостижения ЦУР будут геополитические конфликты, усложнение условий финансирования, фрагментация мировой экономики. МВФ указывают, что они продолжают собирать дополнительное финансирование для наиболее уязвимых стран (например, через свою структуру Resilience and Sustainability Trust (RST) смогли собрать дополнительные $20 млрд на теущую дату), также одобрили дополнительные 11 программ помощи беднейшим странам, которые стартуют в 2024 г. Насколько сильно это поможет, не оценивают.","0,00"
"на встрече этой главы крупных международных инвестхолдингов (Equity Group Holdings, T. Rowe Price, JP Morgan Development Finance Institution), сообщили, что для привлечения частных денег на развивающиеся рынки необходимо создавать на них больше крупных проектов – желательно таких, которые отвечают на долгосрочные требования глобальной экономики. Например, от UBS очень рекомендовали больше напирать на производство какао-бобов – спрос на кофе и шоколад, мол, очень мощный. В целом, основная идея здесь о коллаборации институтов развития и частных инвесторов. Активы частников (глобальные банки, инвестфонды и пр) ВБ оценивает в $422 трлн, в то время как банки развития держат только $200 млрд. Африканский Equity Group Holdings говорит, что хорошие примеры коллабораций частников и институтов развития – это проекты в сфере кредитования беженцев и в образовании. Главными проблемами здесь назвали недостаточно полные, закрытые от инвесторов данные по развивающимся экономикам, сильные различия в регулировании (UBS указывает, что значительные средства инвесторов уходят чисто на юристов – чтобы разобраться в местных законах), также сильную привязку экономики стран к политическим шокам.","0,00"
"
Ещё есть октябрьский доклад ФРС, в котором они обнаруживают, что когда глобальные инвесторы отвечают на финансовые шоки резкой покупкой безопасных американских гособлигаций (т.н. global flight to safety, GFS-шоки), это приводит в среднем к сокращению инфляции (в квартальном выражении) на 0,1 п.п. в США, на столько же в остальном мире, а также к замедлению роста ВВП на 0,25 п.п. в США и мире. Также указывают, что GFS-шоки оказывают наибольший вклад в волатильность мирового ВВП (почти 37%).","0,00"
